Area_Name,Postal_code
Patan,18201
Sera,18151
Almas,18151
Jagam,18201
Barikot,18001
Sharingal,18050
Ganori,18001
Tarpatar,18151
Wari,18200
Bibyour,18151
Sahibabad Edso,18201
Gamseer,18151
Jelar,18201
College,18301
Danwaa,18301
Haya Serai,18301
Seer,18251
Akhagram,18251
Shekolai,18251
Munjai,18301
Toormang,18251
Doryal,18251
Hajiabad,18301
Khall,18250
Jogabanj,18201
Shin Khyari,18251
Koto,18301
Timergara,18300
Latbook Dara,18301
Rabat,18301
Sado,18301
Kandar Bala,18301
Sher Khane,18301
Sangolai,18301
Akakher,18351
Malakand Dara,18301
Rehanpur,18301
Maidan Bandi,18351
Dara Manial,18351
Khungi,18301
Odi Gram,18301
Bashigram,18351
Zaimdara,18450
Lal Qilla,18350
Gumbat Banda,18351
Manda Banda,18301
Munda,18500
Takor,18501
Gardai,18501
Khazana,18501
Dara Manyali,18400
Seri Payan,18701
Turkhomalan Gai,18651
Nawa Gai,18651
Inayat Killi,18651
Bandagai,18701
Khar Bajaur,18650
Seri Bala,18701
Samar Bagh,18600
Miskinai,18551
Raghagan,18651
Mayar Jandol,18550
Bagh Dushkhel,18701
Barikab,18551
Shul Kandi,18501
Tangi Payeen,18601
Shuntala,18601
Loy Sum,18651
Kambat,18601
Ziarat,18700
Ouch,18750
Shamshi Khan,18701
Kalam,19011
Koti Gram,18751
Tazagram,18801
Aspanr,18801
Shewa,18801
Kithyari,18801
Bahrain,19010
Adam Dheri,18801
Khanpur,18801
Chakdara,18800
Usho,19011
Utror,19011
Chail,19021
Madyan,19020
Shin,19031
Chamgarhi,19011
Mian Adam,19031
Qandil,19021
Matta,19040
Shanguatai,19041
Kalakot,19051
Fatehpur,19030
Rahatkot,19051
Biha,19041
Labat,19041
Barthana,19041
Roringar,19041
Nalkot,19041
Chupriyal,19041
Gat,19041
Baidara,19041
Sakhra,19051
Gurra,19041
Barsherpalam,19041
Bara Drush Khela,19050
Koz Shower,19041
Shower,19041
Nokhara,19051
Sijban,19041
Kabal,19060
Devlai,19070
Sersenai,19061
Dardyal,19071
Shah Dheri,19071
Aligrama,19061
Kalakelley,19071
Shalhand,19071
Caluch,19071
Tootano Bandi,19071
Karora,19101
Alpurai,19100
Banr,19101
Chouga,19101
Shikolai,19101
Kana,19101
Dheri,19101
Ganshal,19101
Saluch,19071
Kotkay,19101
Belay Baba,19101
Bilkani,19101
Martoong,19101
Charbagh,19120
Gulibagh,19121
Kokarai,19131
Damorat,19101
Ahengro Dheri,19131
Chagum,19101
Chamtali,19111
Jambeel,19131
Puran,19101
Chkisar,19101
Kuzpao,19101
Lilonai,19101
Khawaza Khela,19110
Farhatabad,19111
Mingora,19130
Aman Kot,19140
Nawan Kellay,19131
Damorai,19201
Kotanai,19111
Dherai Baba,19201
Aloch,19150
Saidu Sharif G.P.O.,19200
Kanju,19201
Hazara,19201
Ningolai,19201
Bilkani,19201
Koza Bandi,19201
Ganshal,19201
Kana,19201
Mang Lore,19201
Faiz Abad,19201
Puran,19201
Islampur,19201
Chagum,19201
Goli Gram,19201
Martung,19201
Chouga,19201
Shikolai,19201
Belogram,19211
Punjigram,19211
Karora,19201
Manyar,19241
Rahim Abad,19210
Bara Bandi,19201
Barikot,19240
Odi Gram,19211
Chakisar,19201
Tindodog,19211
Kota,19241
Parrai,19241
Tariq Abad,19211
Qamber,19211
Zara Khela,19250
Aboha,19241
Garhi,19251
Ghalegi,19230
Guratai,19241
Dokada,19281
Torwarsak,19270
Pir Baba,19280
Nagrai,19291
Bam Pokha,19281
Ghazi Khani,19281
Kinger Gali,19281
Shall Band,19291
Daggar,19290
Sultan Was,19281
Topi,19291
Sawaraj,19291
Battara,19291
Budal,19291
Ellai,19291
Baj Kata,19291
Kalpani,19291
Dewana Baba,19291
Bagra,19291
Angha Pur,19291
Kurgokand,19291
Sura,19301
Tarinon,19301
Nagri,19301
Nawagai,19300
Kanrohi,19301
Sazine,20000
Koga,19301
Dullan Wala,20210
Shang,20501
Ranolia,20300
Dassu,20100
Seo,20101
Besham,20500
Shakan Abad,20201
Jalkot,20101
Batera,20501
Sholgara,20400
Jijal,20301
Pattan,20200
Nogram,21011
Pashto,21011
Gantar,21011
Rupkani,21011
Bojrai,21011
Ashar Ban,21011
Nili Shang,21021
Nehar,21011
Batila,21011
Muslim Abad,21020
Koyar,21011
Bai Bala,21021
Thakot,21030
Lachi Mong,21021
Koshagram,21011
Changal,21031
Biari Ayub Khan,21010
Matai,21011
Sajbair,21031
Kauh Brachar,21011
Dandai,21031
Kucha,21011
Maira,21031
Hill,21051
Battagram,21040
Dhundara,21011
Kanai,21031
Uttal,21041
Jham Bera,21031
Jesole,21041
Shinggali Bala,21041
Raj Maira,21041
Phogora,21041
Nelli Shang,21041
